name,description,address,city,state,zip,tcn
NYALBAPX,Center Point Terminal - Glenmont,Route 144 552 River Road,Glenmont,NY,12077,T-14-NY-1405
NYALBBUC,Buckeye Albany Terminal LLC,301 Normanskill St.,Albany,NY,12201,T-14-NY-1401
NYALGLO,Global Companies LLC,50 Church Street,Albany,NY,12201,T-14-NY-1403
OAKONPET,PETRO CANADA BRONTE,715 McPherson Road,OAKVILLE,ON,NULL,NULL
OHBUCCIN,"Buckeye Terminals, LLC - Cincinnati",5150 River Road,Cincinnati,OH,45201,T-31-OH-3128
OKCOKEQU,TransMontaigne - Oklahoma City,951 N. Vickie,Oklahoma City,OK,73101,T-73-OK-2614
OKCOKMAG,"Magellan Pipeline Company, L.P.",251 N Sunny Lane,Oklahoma City,OK,73101,T-73-OK-2613
OKCOKP66,Phillips 66 PL - Oklahoma City,4700 NE Tenth,Oklahoma City,OK,73101,T-73-OK-2612
OPLLACHV,"Buckeye Terminals, LLC - Opelousas",Highway 182 South,Opelousas,LA,70570,T-72-LA-2375
ORGCAKM,"SFPP, LP",1350 North Main Street,Orange,CA,92613,T-33-CA-4772
ORLFLKM,Central Florida Pipeline LLC,9919 Orange Avenue,Orlando,FL,32801,T-59-FL-2129
OROHMP,MPLX Oregon,4131 Seaman Road,Oregon,OH,43616,T-34-OH-3153
PASMSCHV,"Chevron USA, Inc.- Pascagoula",Industrial Road State Hwy 611,Pascagoula,MS,39567,T-64-MS-2416
PASTXKM,KM Pasadena Truck Facility,400 N. Jefferson,Pasadena,TX,77501,T-76-TX-2830  
PASWATES,Tesoro Logistics Operations LLC,3000 Sacajawea Park Road,Pasco,WA,99301,T-91-WA-4402
PCTYFLCH,"Chevron USA, Inc.- Panama City",525 West Beach Drive,Panama City,FL,32401,T-59-FL-2116
PHICHI,CITGO Petroleum Corporation - East Chicago,2500 East Chicago Ave,East Chicago,IN,46312,T-35-IN-3209
